City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
157,Awjilah,29.1081,21.2869,63.1,56,75,8.37,LY,1733256936
158,Puno,-15.8333,-70.0333,56.97,41,99,11.32,PE,1733256938
159,Bredasdorp,-34.5322,20.0403,62.13,78,68,2.26,ZA,1733256939
160,Palora,-1.7,-77.9333,75.31,81,76,2.59,EC,1733256940
161,Island Harbour,50.724,-1.2758,37.98,3,8,2.1,GB,1733256941
162,Kourou,5.1552,-52.6478,79.79,79,27,8.48,GF,1733256942
163,Cabo San Lucas,22.8909,-109.9124,80.91,65,0,7.0,MX,1733256917
164,Ribeira Grande,38.5167,-28.7,64.8,68,40,9.22,PT,1733256944
165,Tena,-0.9833,-77.8167,91.56,83,89,1.1,EC,1733256945
166,Port Elizabeth,-33.918,25.5701,68.29,85,40,9.22,ZA,1733256947
167,Badger,64.8,-147.5333,3.36,81,75,6.91,US,1733256948
168,Fiambalá,-27.6871,-67.6149,76.1,30,0,18.07,AR,1733256949
169,West Island,-12.1568,96.8225,82.38,89,20,5.75,CC,1733256950
170,Cadale,2.7603,46.3222,80.04,70,0,20.04,SO,1733256951
171,Ancud,-41.8697,-73.8203,56.26,72,39,6.64,CL,1733256952
172,Makīnsk,52.6292,70.4169,12.96,97,85,10.13,KZ,1733256953
173,Al Abyār,32.19,20.5965,57.0,78,24,3.98,LY,1733256954
174,Lihue,21.9789,-159.3672,80.19,65,0,8.05,US,1733256956
175,Katsuren-haebaru,26.3369,127.8719,68.02,77,0,6.91,JP,1733256957
176,Arraial do Cabo,-22.9661,-42.0278,78.66,100,100,5.75,BR,1733256958
177,Constanța,44.1833,28.65,39.7,70,100,5.82,RO,1733256715
178,Mirny,62.5353,113.9611,-17.39,95,100,2.73,RU,1733256960
179,Port Alfred,-33.5906,26.891,67.17,86,100,1.99,ZA,1733256961
180,Severo-Yeniseyskiy,60.3725,93.0408,-3.28,100,97,4.45,RU,1733256962
181,Mahina,-17.5065,-149.489,85.77,70,0,11.5,PF,1733256963
182,Boyolangu,-8.1181,111.8935,77.45,90,100,2.55,ID,1733256966
183,Khovd,48.0056,91.6419,10.69,69,2,5.5,MN,1733256967
184,Kasempa,-13.4584,25.8338,70.34,27,100,3.56,ZM,1733256968
185,San Jose,37.3394,-121.895,69.76,41,20,3.0,US,1733256720
186,Lā‘ie,21.6477,-157.9253,81.05,74,69,4.0,US,1733256970
187,Whitehorse,60.7161,-135.0538,9.37,85,100,2.3,CA,1733256402
188,Yakeshi,49.2833,120.7333,2.93,89,100,13.71,CN,1733256972
189,Punta Arenas,-53.15,-70.9167,55.51,58,75,28.77,CL,1733256974
190,Tadine,-21.55,167.8833,76.14,81,95,9.33,NC,1733256975
191,Lüderitz,-26.6481,15.1594,67.44,70,3,23.96,NA,1733256976
